71; 3,498; 53,0
74; 4,662; 48,0
41; 5,019; 56,0
47; 4,984; 50,0
56; 4,479; 61,0
57; 4,469; 68,0
58; 3,802; 67,0
60; 4,076; 57,0
60; 3,787; 57,0
62; 4,558; 73,0
64; 4,233; 75,0
57; 4,073; 67,0
58; 3,386; 70,0
84; 6,611; 71,0
58; 4,146; 71,0
60; 5,005; 63,0
71; 4,068; 49,0
74; 4,704; 55,0
46; 6,285; 60,0
3; 4,637; 79,0
10; 5,039; 62,0
18; 5,104; 69,0
19; 6,239; 70,0
35; 6,004; 53,0
40; 5,481; 59,0
98; 6,714; 0,0
85; 6,357; 67,0
97; 6,853; 57,0
19; 5,771; 67,0
57; 6,357; 39,0
60; 6,416; 51,0
62; 6,726; 64,0
71; 4,901; 71,0
77; 4,38; 86,0
26; 6,364; 63,0
41; 7,368; 45,0
70; 4,475; 50,0
73; 4,561; 49,0
60; 5,575; 78,0
63; 5,211; 67,0
76; 4,941; 66,0
78; 5,299; 63,0
64; 5,269; 69,0
67; 5,464; 71,0
77; 3,45; 91,0
84; 6,15; 72,0
94; 6,553; 65,0
6; 3,636; 71,0
25; 3,711; 60,0
26; 3,984; 54,0
74; 4,942; 68,0
77; 4,782; 67,0
6; 3,492; 44,0
15; 3,3; 45,0
25; 3,425; 65,0
37; 4,375; 67,0
38; 4,602; 68,0
84; 5,962; 65,0
46; 5,269; 63,0
51; 5,768; 62,0
52; 5,819; 73,0
10; 4,542; 68,0
18; 4,578; 55,0
19; 5,971; 57,0
34; 4,855; 66,0
35; 5,488; 58,0
40; 4,913; 65,0
98; 5,758; 0,0
46; 4,672; 54,0
51; 4,896; 63,0
52; 4,829; 62,0
54; 4,803; 68,0
10; 3,133; 63,0
18; 2,151; 55,0
19; 3,347; 57,0
34; 4,009; 62,0
35; 3,73; 61,0
40; 3,998; 60,0
98; 4,087; 0,0
1; 3,113; 52,0
6; 2,82; 45,0
15; 2,698; 53,0
25; 2,475; 45,0
26; 2,167; 51,0
37; 3,489; 59,0
38; 3,638; 60,0
41; 4,639; 52,0
47; 4,524; 47,0
56; 4,771; 58,0
3; 3,506; 48,0
10; 3,106; 54,0
54; 5,121; 75,0
10; 2,783; 63,0
18; 2,614; 54,0
19; 3,479; 54,0
34; 3,665; 74,0
35; 3,067; 56,0
40; 3,402; 54,0
46; 3,943; 59,0
51; 4,656; 66,0
98; 3,3; 0,0
26; 3,808; 59,0
38; 4,817; 66,0
77; 4,939; 71,0
63; 6,291; 70,0
85; 6,371; 75,0
64; 6,168; 75,0
62; 6,67; 74,0
51; 5,716; 54,0
54; 6,328; 60,0
63; 6,242; 53,0
73; 5,49; 68,0
52; 5,171; 58,0
54; 4,948; 66,0
10; 5,137; 72,0
